loan_id,n_inst,n_obs,on_time_rate,early_rate,late_rate,mean_delay,exposure,max_delay,first_delinq_k,first_delinq_frac,return_to_current_k,re_delinq_k,ever_delinq,n_unpaid,year,status,outcome,plan_len,purpose_len,amount,duration,rate,gender,age,job,income,expend,disposable,past_ordinary,past_early,past_late,past_overdue,past_loss,in_sample,inc17,exp17,disp17,capacity,amt_won,dur_m,req_pay,req_avg,pcg_abs,pcg_ratio,pcg_over,pcg_abs_avg
B101129-5,1,1,0.0,0.0,1.0,61.0,61,61,1.0,1.0,,,1,0,2010,연체중,손실,1686,3198,150만원,12개월,0.3,여자,세,기타,,,,,,,,,1,,,,,1500000.0,12.0,162500.0,145312.5,,,,
B101204-5,9,9,0.4444,0.2222,0.5556,8.222,74,31,5.0,0.556,,,1,0,2010,연체중,손실,1119,1855,200만원,9개월,0.3,남자,세,기타,,,,,,,,,1,,,,,2000000.0,9.0,272222.22222222225,250000.0,,,,
B101211-5,15,15,0.0667,0.0,0.9333,16.133,242,28,1.0,0.067,5.0,6.0,1,0,2010,정상종료,완납,645,2936,300만원,15개월,0.3,여자,세,기타,,,,,,,,,1,,,,,3000000.0,15.0,275000.0,240000.0,,,,
B101212-5,2,2,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,255,255,300만원,15개월,0.3,여자,세,기타,,,,,,,,,1,,,,,3000000.0,15.0,275000.0,240000.0,,,,
B101215-5,14,14,0.1429,0.0714,0.8571,6.857,96,31,2.0,0.143,5.0,6.0,1,0,2010,연체중,손실,342,1603,300만원,24개월,0.3,남자,세,기타,,,,,,,,,1,,,,,3000000.0,24.0,200000.0,164062.5,,,,
B101220-5,5,5,0.6,0.6,0.4,6.8,34,31,2.0,0.4,3.0,5.0,1,0,2010,연체중,손실,601,1169,200만원,6개월,0.3,남자,세,기타,,,,,,,,,1,,,,,2000000.0,6.0,383333.3333333333,362500.0,,,,
B081212-6,12,12,0.5,0.5,0.5,2.667,32,11,7.0,0.583,,,1,0,2008,정상종료,완납,459,305,100만원,12개월,0.3,여자,세,기타,,,,,,,,,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,
B081231-6,12,12,0.5,0.0833,0.5,2.167,26,13,3.0,0.25,5.0,7.0,1,0,2008,정상종료,완납,125,293,200만원,12개월,0.3,남자,세,기타,,,,20.0,4.0,17.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
B090106-6,6,6,0.8333,0.1667,0.1667,0.667,4,4,5.0,0.833,6.0,,1,0,2009,정상종료,완납,180,846,200만원,12개월,0.3,여자,세,기타,,,,6.0,1.0,7.0,3.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
B090117-6,10,10,0.6,0.1,0.4,1.4,14,7,5.0,0.5,7.0,8.0,1,0,2009,정상종료,완납,162,294,200만원,12개월,0.3,여자,세,기타,,,,40.0,8.0,9.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
B090121-6,8,8,0.0,0.0,1.0,26.875,215,61,1.0,0.125,,,1,0,2009,연체중,손실,312,798,100만원,12개월,0.3,여자,세,기타,,,,,,,,,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,
B090222-6,6,6,0.6667,0.6667,0.3333,11.833,71,61,5.0,0.833,,,1,0,2009,연체중,손실,351,1329,100만원,12개월,0.3,남자,세,기타,,,,13.0,13.0,9.0,1.0,0.0,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,
B090225-6,6,6,0.1667,0.0,0.8333,23.167,139,61,2.0,0.333,,,1,0,2009,연체중,손실,239,1477,100만원,12개월,0.3,여자,세,기타,,,,,,,,,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,
B090313-6,12,12,0.1667,0.0833,0.8333,2.417,29,4,1.0,0.083,2.0,3.0,1,0,2009,정상종료,완납,229,1390,200만원,12개월,0.3,남자,세,기타,,,,,,,,,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
